Shelter,Plot,Subplot,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
1,1,A,RYE,4.7,2.1,5.2,5.5,4.9,9:40
1,1,B,WAL,9.7,8.7,9.7,9.1,8.9,
1,1,C,KAN,8.6,7.2,8.5,7.9,10.7,
1,2,B,RYE,4.7,4.9,3.9,4.8,7.9,
1,2,C,WAL,11.9,11.4,10.5,7.1,11.9,
1,2,D,KAN,13.1,10.8,8.3,11.1,8,
1,3,A,P/SUB,7.6,6.9,9.5,5.2,4.9,
1,3,B,K/W,5.2,3.5,6.1,5.8,7.3,
1,3,C,FES,1.6,1.3,0.7,1.2,1.3,
1,3,D,LUC,5.8,7.2,11.2,5.1,5.8,
1,4,A,FES,1.6,1.3,1.3,1.2,1.5,
1,4,B,P/SUB,4.5,3.8,3.6,3.6,5.8,
1,4,C,LUC,4.6,4.3,4.2,5.5,8.1,
1,4,D,K/W,7.3,5.9,9.3,4.9,8.4,
1,5,A,K/W,6.2,3.5,1.6,3.4,2.8,
1,5,B,LUC,3.2,4.3,7.9,4.1,4.7,
1,5,C,FES,0.7,0,0.4,<1,<1,
1,5,D,P/SUB,6.8,3.4,8.6,8.5,8.7,
1,6,A,LUC,5.4,4.7,5.6,4.9,8.8,
1,6,B,FES,2.2,1.5,1.7,1.4,2.6,
1,6,C,K/W,10.1,9.1,5.7,10.3,8.9,
1,6,D,P/SUB,8.2,5.5,6.1,7.8,8.7,
1,7,A,D/BIS,10.5,6.8,6.1,6.5,5.3,
1,7,B,BIS,4.8,6.7,5.1,4.7,6.5,
1,7,C,RHO,2.3,1.6,2.8,2.2,2.6,
1,7,D,DIG,8.3,5.2,6.1,6.4,5.3,
1,8,A,DIG,9.5,9.5,10.8,7.3,8.4,
1,8,B,BIS,8,4.8,4.3,4.4,6.2,
1,8,C,D/BIS,9,5.5,6.3,7,4.7,
1,8,D,RHO,6.8,5.8,7.1,3.9,8.7,
2,1,A,DIG,8.8,6.3,9.6,8.9,9.9,
2,1,B,D/BIS,8.4,9.6,8.6,8.3,4.5,
2,1,C,RHO,7.4,7.2,7.1,7.8,11.5,10:25
2,1,D,BIS,6.3,5.4,5.6,5.3,7.1,
2,2,A,RHO,2.5,2.8,2.9,0.6,0.6,
2,2,B,DIG,7.1,4.4,8.2,2.7,6.4,
2,2,C,D/BIS,7.7,6.4,8.3,9.8,7.9,
2,2,D,BIS,7.3,6.8,7.6,7.9,8.6,
2,3,A,P/SUB,6.1,4.2,5,9.4,1.7,
2,3,B,LUC,2.8,2.8,6.6,3.9,2.5,
2,3,C,FES,0.6,0.5,<1,0.6,1.5,
2,3,D,K/W,2.1,2.2,1,1.8,4.2,
2,4,A,LUC,4.2,3.1,4.7,7.5,4.4,
2,4,B,P/SUB,6.4,2.9,10.1,2.3,1.3,
2,4,C,FES,0.9,0.7,0.6,1,0.8,
2,4,D,K/W,3,3.1,2.4,5.3,9.2,
2,5,A,P/SUB,6.1,11.2,7.5,3.4,7.6,
2,5,B,FES,1.8,1.2,2.3,1.5,3.3,
2,5,C,LUC,7.6,6.3,8.7,8.4,7.8,
2,5,D,K/W,8.1,8.5,9.1,11.3,9.2,
2,6,A,LUC,8.8,4.6,2.3,6,8.8,
2,6,B,K/W,7.5,6.2,5.3,2.4,6.2,
2,6,C,P/SUB,3.2,7.9,5.9,1.6,7.5,
2,6,D,FES,1.3,1.2,0.6,1.4,2.7,
2,7,B,WAL,5.8,8.9,8.1,8.2,9.2,
2,7,C,KAN,4.5,6.3,4.5,5,7.9,
2,7,D,RYE,4.3,2.8,4.2,3.8,3.7,
2,8,A,RYE,1.9,1.8,2.8,2.2,2.4,
2,8,C,WAL,7.6,6.7,8.8,9.3,9.2,
2,8,D,KAN,8.2,8.7,9.1,6.2,5.1,
3,1,A,RYE,3.7,3.1,4.6,4.7,3.8,
3,1,B,WAL,10.1,7.6,10.4,8.2,7.7,
3,1,D,KAN,9.9,8.8,7.4,7.8,9.4,
3,2,A,KAN,6.5,2.7,3.2,6,2.6,
3,2,B,RYE,2.2,8.5,5,1.7,2.1,11:15
3,2,D,WAL,8.9,7.4,9.8,6.7,5.6,
3,3,A,P/SUB,8.1,6.2,9.5,6.8,5.6,
3,3,B,LUC,4.9,3.9,1.9,4.9,3.8,
3,3,C,K/W,8.1,7.5,10.1,8.9,7.8,
3,3,D,FES,2.1,0.8,1.2,1.2,2,
3,4,A,K/W,4.6,5.5,3.8,7.1,7.6,
3,4,B,FES,<1,1,9,<1,1.2,
3,4,C,LUC,2.6,2.1,3.2,7.1,6.3,
3,4,D,P/SUB,5.4,3.6,1.1,5.5,4.7,
3,5,A,P/SUB,6.1,3.7,7.6,2.3,2.9,
3,5,B,K/W,<1,<1,<1,<1,2.1,
3,5,C,LUC,3.8,6.7,14.4,1.9,7.8,
3,5,D,FES,0.9,<1,0.7,0.7,0.5,
3,6,A,P/SUB,7,7.8,7.9,1.3,1.7,
3,6,B,FES,1,<1,<1,1.4,<1,
3,6,C,LUC,5.5,3.7,7.6,2.9,4.2,
3,6,D,K/W,6.8,3.4,1.8,5.3,7.5,
3,7,A,RHO,2.3,1.1,1.5,1,<1,
3,7,B,BIS,3.9,4.4,6.9,3.3,3.3,
3,7,C,D/BIS,8.2,8.3,6.6,4.7,5.8,
3,7,D,DIG,5.1,5.4,7,5.9,6.7,
3,8,A,D/BIS,7.9,6.1,7.1,8.9,5.2,
3,8,B,RHO,6.7,4,7.2,3.3,1.6,
3,8,C,BIS,4.7,4.7,4.2,5.4,5.4,
3,8,D,DIG,8.3,7.5,7.4,8.8,8.3,
4,1,B,RYE,3.9,2.6,3.3,2.4,3.1,
4,1,C,WAL,8.1,7.6,7.8,8.5,9.1,
4,1,D,KAN,8.3,6.1,10.2,9.6,7.9,
