Shelter,Plot,Subplot,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
4,2,B,RYE,1.9,4.5,3.5,1.9,2.6,
4,2,C,KAN,8.5,6.5,7.2,5.9,4.7,
4,2,D,WAL,9.2,8.1,12.5,9.3,8,
4,3,A,K/W,8,3.9,4.6,6.7,7.4,11:55
4,3,B,FES,0.5,<1,<1,<1,0.6,
4,3,C,P/SUB,2.9,2.1,1.9,4.4,7.6,
4,3,D,LUC,5.9,7.8,1.9,1.2,3.1,
4,4,A,P/SUB,7.7,4.4,5.5,5.6,2.9,
4,4,B,K/W,4,1.8,1.9,2.4,3,
4,4,C,FES,<1,0.7,<1,<1,<1,
4,4,D,LUC,6,3.4,8.3,6.2,4.7,
4,5,A,FES,3.6,1.9,2.8,1.8,0.7,
4,5,B,P/SUB,9.3,3.6,5.9,4.5,6.5,
4,5,C,LUC,5.1,4.2,8.8,7.4,7.9,
4,5,D,K/W,12.1,10.5,9.8,9.7,9.4,
4,6,A,FES,<1,<1,0,<1,0.5,
4,6,B,K/W,1.3,1.6,3.6,<1,2,
4,6,C,P/SUB,3.6,9.1,6.4,3.2,5.3,
4,6,D,LUC,<1,2.3,11.9,6.8,5.7,
4,7,A,DIG,6.2,6.1,5.7,6.4,2.9,
4,7,B,BIS,2.6,2.5,6.3,2.7,4.9,
4,7,C,D/BIS,7.6,8.5,9.5,7.7,7.7,
4,7,D,RHO,4.7,2.9,5,3.4,3.1,
4,8,A,D/BIS,7.1,6,6.8,6.1,1.7,
4,8,B,RHO,1.6,1.5,1,0.6,0.6,
4,8,C,DIG,4.7,2.6,3,3.1,2.4,
4,8,D,BIS,3.7,4.9,5.1,2.4,4.9,
5,1,A,RHO,2.2,1.4,1,1.8,1.2,
5,1,B,DIG,4.1,5.9,6.4,2.2,2,
5,1,C,BIS,4.2,5.2,4.2,2.8,4.7,
5,1,D,D/BIS,10.2,7.4,12.3,5,7.3,
5,2,A,BIS,4.9,3.3,5.4,7.4,5.5,
5,2,B,DIG,9.4,6.4,7.7,7.6,7.5,
5,2,C,D/BIS,8.3,7.6,7.4,8.4,8,
5,2,D,RHO,6.9,5.6,7.6,7.9,3.7,
5,3,A,FES,1.1,0.6,1.2,1.3,<1,13:54
5,3,B,K/W,3.2,4.5,1.9,4.4,3.6,
5,3,C,LUC,3.8,3.8,3.1,3.6,6.1,
5,3,D,P/SUB,3.2,<1,1.9,2.9,2.4,
5,4,A,FES,0.8,0.7,0.7,<1,0.7,
5,4,B,P/SUB,3.1,4.1,9.1,2.7,6.5,
5,4,C,K/W,4.9,3.1,<1,4.9,5.8,
5,4,D,LUC,7.6,2.2,10.8,7,2.1,
5,5,A,K/W,<1,<1,<1,1.5,<1,
5,5,B,LUC,3.2,3.6,7.3,2.5,1.9,
5,5,C,P/SUB,3.5,3.5,6.4,10.2,6.3,
5,5,D,FES,<1,1,0,0.7,<1,
5,6,A,LUC,7.2,4.4,7.5,6.7,2.7,
5,6,B,K/W,10.3,8.7,10.6,8.5,8.3,
5,6,C,FES,2.1,1.5,2.9,2.2,1.7,
5,6,D,P/SUB,5.2,7.6,8.9,5.3,6.9,
5,7,A,RYE,3.3,2.3,5.8,2.1,1.6,
5,7,C,KAN,4.1,2.1,5.4,5.3,2.8,
5,7,D,WAL,8.6,7.8,11.1,9.2,8.3,
5,8,A,RYE,3.9,3.4,4.6,4.8,1.6,
5,8,B,WAL,7.5,6.9,7.9,8.4,9.6,
5,8,D,KAN,7.2,5.8,9.1,7.9,0.5,
6,1,B,KAN,10.8,9.3,11.1,7.1,6.8,
6,1,C,RYE,3.9,3.9,4.7,4.8,11.2,
6,1,D,WAL,12.1,11.1,12.8,12.5,9.7,
6,2,A,KAN,7.3,3.6,2.1,5.5,0.9,
6,2,B,RYE,2.8,2.4,4.8,1.3,1.2,
6,2,D,WAL,12.4,8.9,10.6,12,10.2,
6,3,A,K/W,0.9,1.2,1,1,0.9,
6,3,B,LUC,2.3,3.2,12.7,1.3,2,
6,3,C,P/SUB,1.2,2.4,4.4,3,3.7,
6,3,D,FES,0,<1,0.7,0.4,0.4,
6,4,A,P/SUB,2.8,2.9,8,2.2,3.2,14:45
6,4,B,K/W,7.9,7.5,7.2,7.6,3.9,
6,4,C,FES,2.3,1.3,1.6,2.1,2.5,
6,4,D,LUC,8,4.1,9.1,8.5,6.9,
6,5,A,LUC,1.5,1.6,1.9,1.8,4.9,
6,5,B,P/SUB,4.9,5.9,3.8,0.9,3.2,
6,5,C,K/W,3.9,4.6,6.9,9.4,9.5,
6,5,D,FES,1.3,1.6,1.5,3.3,0.8,
6,6,A,K/W,1.6,2.4,7.2,2.1,2.2,
6,6,B,FES,0.9,0.9,0.5,0.9,0.9,
6,6,C,P/SUB,2.2,6.1,10.2,3.7,9,
6,6,D,LUC,5.7,4.1,9.4,5.6,4.8,
6,7,A,RHO,1.3,<1,1,1.1,0.8,
6,7,B,DIG,3.6,1.8,3.4,1.6,2.2,
6,7,C,D/BIS,5.5,4.4,6.7,6.1,5.9,
6,7,D,BIS,6.4,6.3,7.2,5.6,4.5,
6,8,A,D/BIS,6.5,6.7,7.5,5.9,4.7,
6,8,B,DIG,7,5.8,6.3,6.9,5,
6,8,C,BIS,4.4,4.8,5.4,4.1,5.1,
6,8,D,RHO,3.6,1.5,7.4,7.5,3.4,
