Shelter,Plot,Subplot,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
1,1,C,KAN,13.8,10.9,13.2,11,12.9,
1,2,D,KAN,9.1,10.4,8.2,13.9,10.5,
1,3,B,K/W,10.4,10.3,10.9,11,10.5,
1,3,C,FES,2.7,1.9,2.3,2.6,3.2,
1,4,A,FES,4.6,2.9,3.5,3.1,2.2,
1,4,D,K/W,8.7,7.8,11.2,8.2,13.6,
1,5,A,K/W,12.5,6.9,6.4,7.2,6.7,
1,5,C,FES,1.4,0.8,1,1.3,2.5,
1,6,B,FES,3.4,2.8,3.8,4.2,7.4,
1,6,C,K/W,7.9,10.7,9.1,11.9,13.7,
1,7,A,D/BIS,12.1,9.8,11.3,7.4,11.6,
1,7,C,RHO,3.9,3.7,4.8,2.6,4.4,
1,7,D,DIG,7.1,8.3,11.9,10.8,12.5,
1,8,A,DIG,7.3,10.3,10.9,7.2,9.8,
1,8,C,D/BIS,10.6,8,8.1,11.2,12.4,
1,8,D,RHO,7.7,4.5,6.4,4.6,9.3,
2,1,A,DIG,7.8,7.4,9.4,9.7,10.7,
2,1,B,D/BIS,11,12,10.3,8.3,4.5,
2,1,C,RHO,7.6,7.9,5.5,7.3,11.9,
2,2,A,RHO,5.5,3.9,4.2,2.5,1.4,
2,2,B,DIG,10.7,12.3,11.4,8.6,9.5,
2,2,C,D/BIS,11.8,10.7,12.9,14.8,14.3,
2,3,C,FES,1.5,2.6,1.6,1.2,2.8,
2,3,D,K/W,5.2,7.1,4.2,6.5,7.5,
2,4,C,FES,2.3,1.5,1.7,1.9,2.5,
2,4,D,K/W,6,6.9,7.1,7.8,10.5,
2,5,B,FES,3.9,4.2,4,2,4.5,
2,5,D,K/W,9.8,8.9,9.6,11.4,11.5,
2,6,B,K/W,10.8,8.7,6.5,4.6,12.2,
2,6,D,FES,2.2,2.9,3.2,3.5,3.2,
2,7,C,KAN,8.5,10.4,6.3,6.9,10.7,
2,8,D,KAN,9.8,9.8,8.7,9.3,8.4,
3,1,D,KAN,11.1,10.9,6.3,8,9.2,
3,2,A,KAN,9.6,5.2,4.8,8.7,4.7,
3,3,C,K/W,9.7,10.5,11.7,8.7,12.4,
3,3,D,FES,3.4,2.8,2.9,2.7,3.7,
3,4,A,K/W,9.1,6.3,6.9,9,10,
3,4,B,FES,4.3,2.1,2.4,3.6,2.1,
3,5,B,K/W,7.7,6.5,2.1,4.5,3.3,
3,5,D,FES,2,1.8,1.7,0.8,1.2,
3,6,B,FES,2.2,2.2,1.6,3.3,2.1,
3,6,D,K/W,10.4,3.9,5.8,8.3,10.4,
3,7,A,RHO,3.2,2,1.8,2.2,2.1,
3,7,C,D/BIS,11,12.5,12.9,10.4,9.5,
3,7,D,DIG,8.1,9.1,11.9,9.1,11.7,
3,8,A,D/BIS,11.1,6.5,8.3,10.1,9,
3,8,B,RHO,6.5,5.9,7.5,6.1,2.4,
3,8,D,DIG,8.5,9.1,10.9,12,8.9,
4,1,D,KAN,8.9,8.7,9.6,10.7,6.6,
4,2,C,KAN,8,8.8,8.6,7.9,5.1,
4,3,A,K/W,11.8,8,6.7,8.5,7.2,
4,3,B,FES,1.5,3.3,2,2.4,1.4,
4,4,B,K/W,8.3,4.9,4.7,5.2,7.6,
4,4,C,FES,1.4,2.2,1.6,2.8,1.4,
4,5,A,FES,5.6,3,3.7,2.9,1.9,
4,5,D,K/W,13.7,11.5,10.5,9.6,10.3,
4,6,A,FES,1,0.1,1.1,1.5,2.2,
4,6,B,K/W,2.2,2,8.5,3.8,7.4,
4,7,A,DIG,7.2,5.8,4.8,6.4,2.5,
4,7,C,D/BIS,8.3,8.4,10.9,9.5,9.9,
4,7,D,RHO,4.8,2.5,3.8,4.1,2.8,
4,8,A,D/BIS,11.6,7.8,9.9,3.3,3.9,
4,8,B,RHO,2.5,1.7,1.4,1.2,0.4,
4,8,C,DIG,8.2,6.8,8.2,6.8,6.9,
5,1,A,RHO,4,1.2,1.6,3,1.6,
5,1,B,DIG,8.6,10,11.3,11.1,8.8,
5,1,D,D/BIS,12.3,8.9,16.3,8.8,9.2,
5,2,B,DIG,9.8,7,8.2,6.1,7.8,
5,2,C,D/BIS,9.2,6.4,8,9.7,8.8,
5,2,D,RHO,6.8,6.2,8.3,6.4,3.5,
5,3,A,FES,2.5,2.2,2.7,3.2,2.6,
5,3,B,K/W,8.6,6.4,4.7,6.1,5.4,
5,4,A,FES,2.5,1.8,1.8,3.3,1.6,
5,4,C,K/W,7.8,4.8,4.8,7.5,6.9,
5,5,A,K/W,3.6,2.5,5.8,2.9,1.8,
5,5,D,FES,2.1,1.7,0.4,1.4,0.9,
5,6,B,K/W,11.9,12.2,11.7,11.6,9.3,
5,6,C,FES,3.4,2.5,2.8,3.7,2.4,
5,7,C,KAN,7.8,3.1,6.1,7.6,3.1,
