Shelter,Plot,Subplot,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
5,8,D,KAN,8.7,6.6,8.9,9,7.4,
6,1,B,KAN,12.2,10.7,9.4,7.6,8.2,
6,2,A,KAN,11.9,5.8,8,6.1,7.5,
6,3,A,K/W,4,4.1,7.1,3.7,3.6,
6,3,D,FES,1.2,1.9,1.6,1.8,2.1,
6,4,B,K/W,8.8,8.7,7,7.5,7.3,
6,4,C,FES,4.7,2.2,3.9,3.1,3.9,
6,5,C,K/W,6.8,4.1,7.8,7.8,4.2,
6,5,D,FES,2.5,3.4,1.8,5.8,2.3,
6,6,A,K/W,6.8,6.2,9.9,5.5,5.1,
6,6,B,FES,1.5,2,1.7,1.7,2.2,
6,7,A,RHO,3,4.2,2.8,1.9,1.7,
6,7,B,DIG,7.5,6.7,9,7.4,3.4,
6,7,C,D/BIS,9.7,7.5,8.9,8.8,10.4,
6,8,A,D/BIS,8.1,5.4,8.4,8.4,6.4,
6,8,B,DIG,7.7,5.7,6.8,6.5,6.4,
6,8,D,RHO,7.4,4,9.1,7.8,4.5,
