Shelter,Plot,Subplot,Subplot ID,Species,Moisture 1,Moisture 2,Moisture 3,Moisture 4,Moisture 5,Comment 
6,2,A,S6P2,KAN,12.9,8.1,9.1,10.5,14.3,
1,3,D,S1P3,LUC,6.4,6.7,6.2,7,8.6,
1,4,C,S1P4,LUC,5.6,3.3,4.1,6.2,7.6,
1,5,B,S1P5,LUC,3.6,2.9,2.3,8.2,9.3,
1,6,A,S1P6,LUC,3.9,4.1,3.9,3.7,9.9,
2,3,B,S2P3,LUC,6.5,4.3,3.6,6.3,4.8,
2,4,A,S2P4,LUC,5.9,3.3,4.1,6.7,3.3,
2,5,C,S2P5,LUC,10.4,8.2,7.9,8.6,9.5,
2,6,A,S2P6,LUC,5.6,7.9,3.8,6.3,6.8,
3,3,B,S3P3,LUC,5.1,3.6,4.2,5.6,3.1,
3,4,C,S3P4,LUC,5.2,2.7,6.2,5.9,9.6,
3,5,C,S3P5,LUC,6.3,9.3,6.1,6.3,8.3,
3,6,C,S3P6,LUC,6.4,6,9.2,6.6,7.3,
4,3,D,S4P3,LUC,6.1,6,4.6,4.4,7.2,
4,4,D,S4P4,LUC,4.9,4.8,5.8,6,9.3,
4,5,C,S4P5,LUC,4.3,4.4,4,6.8,7.1,
4,6,D,S4P6,LUC,3.3,4.4,5.8,7.1,8.5,
5,3,C,S5P3,LUC,3.3,3.9,4.6,4.9,8.3,
5,4,D,S5P4,LUC,3.9,6.9,5.3,5.3,7.8,
5,5,B,S5P5,LUC,5.4,6.8,3.6,2.3,4.4,
5,6,A,S5P6,LUC,4.5,4.8,4.7,3.8,6.1,
6,3,B,S6P3,LUC,6,5.6,5.1,3.6,3.5,
6,4,D,S6P4,LUC,8.2,10,8.5,9.5,12.8,
6,5,A,S6P5,LUC,3.7,5.1,4.1,5.8,3.6,
6,6,D,S6P6,LUC,5.3,8.5,4.9,6.4,8.5,
1,3,A,S1P3,P/SUB,9.7,6.4,8.1,7.6,11.2,
1,4,B,S1P4,P/SUB,7.8,4.2,5.3,5.5,10.4,
1,5,D,S1P5,P/SUB,9.9,5.2,7.6,5.6,9.6,
1,6,D,S1P6,P/SUB,5,3.5,4.7,6.9,7.1,
2,3,A,S2P3,P/SUB,9.2,4.7,6.9,9.2,2.9,
2,4,B,S2P4,P/SUB,7.9,6.1,6.4,6.7,8,
2,5,A,S2P5,P/SUB,8.2,7.4,8.2,8.5,12.5,
2,6,C,S2P6,P/SUB,5.3,6.2,7.1,5.4,5.7,
3,3,A,S3P3,P/SUB,8.7,5.4,7.5,5.4,2.8,
3,4,D,S3P4,P/SUB,6.4,6.7,6,4.2,5.9,
3,5,A,S3P5,P/SUB,8,6.1,6.2,6.4,4.7,
3,6,A,S3P6,P/SUB,6.3,8.2,5.9,5.1,4.9,
4,3,C,S4P3,P/SUB,6.9,5.3,5.6,5.5,8.3,
4,4,A,S4P4,P/SUB,7.9,7.6,6.6,6.9,7.1,
4,5,B,S4P5,P/SUB,8.2,6.7,6.6,5.9,5.3,
4,6,C,S4P6,P/SUB,7.6,6.8,6.2,5.7,7.2,
5,3,D,S5P3,P/SUB,5.7,5.2,7.5,5.1,6.5,
5,4,B,S5P4,P/SUB,7.7,6.4,8.1,6.6,7.1,
5,5,C,S5P5,P/SUB,8.5,7.6,7.7,10.2,7.9,
5,6,D,S5P6,P/SUB,6.1,7,6.5,5.6,6.8,
6,3,C,S6P3,P/SUB,7.4,3.9,4.6,6.2,11.4,
6,4,A,S6P4,P/SUB,5.9,9.1,6.9,6.9,9.8,
6,5,B,S6P5,P/SUB,10.4,7.6,8.3,4.5,5.9,
6,6,C,S6P6,P/SUB,6.3,8.7,6.5,5.1,10.2,
1,1,D,S1P1,PHA,19.3,18.3,15.4,15.2,15.9,
1,2,A,S1P2,PHA,18.2,13.7,12.9,12.5,16.8,
2,7,A,S2P7,PHA,15.1,12.4,11.9,13.7,16.9,
2,8,B,S2P8,PHA,13.4,12.6,13.2,13,13.8,
3,1,C,S3P1,PHA,15,8.1,12.8,11.3,16.8,
3,2,C,S3P2,PHA,13.8,12.1,13.8,13.2,16.9,
4,1,A,S4P1,PHA,12.5,12.2,13.4,13.3,10.8,12:00
4,2,A,S4P2,PHA,12.1,11.5,15.1,12.2,14.2,
5,7,B,S5P7,PHA,13.5,9.7,14.1,13.8,17.8,
5,8,C,S5P8,PHA,13.6,13.1,12.1,10.5,13.8,
6,1,A,S6P1,PHA,14.5,17.8,13.5,15.2,20,13:55
6,2,C,S6P2,PHA,11.1,9.8,13.4,16.1,17.9,
1,7,C,S1P7,RHO,7.1,7.6,7.7,7.1,7.2,
1,8,D,S1P8,RHO,5.5,4.5,6.4,5.9,8.9,
2,1,C,S2P1,RHO,6.5,7.6,4.9,7.5,13.8,
2,2,A,S2P2,RHO,9.3,8.3,8.2,8.3,4.8,
3,7,A,S3P7,RHO,6.6,4.6,4.9,5.8,5.6,
3,8,B,S3P8,RHO,8.3,6.2,7.6,5.3,4.3,
4,7,D,S4P7,RHO,5.5,3.9,6.1,4.4,7.7,
4,8,B,S4P8,RHO,6.8,6.6,6.1,2.7,3.8,
5,1,A,S5P1,RHO,7.6,4.9,3.6,3.5,2.8,13:20
5,2,D,S5P2,RHO,6.6,3.9,6.9,5.9,4,
6,7,A,S6P7,RHO,6.8,8.6,8.9,2.5,5.1,
6,8,D,S6P8,RHO,5.9,4.5,8.6,7,6.9,
1,1,A,S1P1,RYE,10.6,8.2,9.3,11.4,13,10:10
1,2,B,S1P2,RYE,11.7,9.5,11.1,11.4,10.4,
2,7,D,S2P7,RYE,6.5,7.8,8.7,8.6,11.5,
2,8,A,S2P8,RYE,8.9,8.4,8.8,9,9.3,
3,1,A,S3P1,RYE,10.5,11.6,12.9,11.2,7.9,11:25
3,2,B,S3P2,RYE,11.1,11.6,9.8,9.2,8.8,
4,1,B,S4P1,RYE,9.8,9.5,8.3,8.1,11.3,
4,2,B,S4P2,RYE,8.4,8.5,7.9,9.4,8.3,
5,7,A,S5P7,RYE,11.4,11.2,11.1,9.6,7.8,
5,8,A,S5P8,RYE,11.4,9.7,9.6,9.2,10.5,
6,1,C,S6P1,RYE,10.8,11,12.8,14.8,15.3,
6,2,B,S6P2,RYE,12.3,10.6,11.2,10.5,9.9,
1,1,B,S1P1,WAL,14.8,14.3,14.9,13.9,12.9,
1,2,C,S1P2,WAL,16.1,13.2,13.6,12.9,11.4,
2,7,B,S2P7,WAL,11.3,9.8,10.7,12.7,10.6,
2,8,C,S2P8,WAL,9.9,11.9,10.6,13,12.1,
3,1,B,S3P1,WAL,13.4,9.5,13.3,9.8,12.9,
3,2,D,S3P2,WAL,11.1,11.2,10.9,9.9,9.9,
4,1,C,S4P1,WAL,11.1,11.6,10.5,8.8,14.3,
4,2,D,S4P2,WAL,14,9.6,12.9,11.5,12.8,
5,7,D,S5P7,WAL,9.9,9.9,10,9.2,10.5,
5,8,B,S5P8,WAL,10.1,9.8,11.1,11.4,12.8,
6,1,D,S6P1,WAL,17.9,16.2,13.5,15.1,16.4,
6,2,D,S6P2,WAL,18.8,12.8,14.9,13.8,16.9,
